,0
922,0 days 00:00:00.045147
923,0 days 00:00:00.067524
924,0 days 00:00:00.045295
925,0 days 00:00:00.145119
926,0 days 00:00:00.007434
927,0 days 00:00:00.059870
928,0 days 00:00:00.045265
929,0 days 00:00:00.045219
930,0 days 00:00:00.045281
931,0 days 00:00:00.045351
932,0 days 00:00:00.044868
933,0 days 00:00:00.045168
934,0 days 00:00:00.046632
935,0 days 00:00:00.045438
936,0 days 00:00:00.045264
937,0 days 00:00:00.045167
938,0 days 00:00:00.045277
939,0 days 00:00:00.045165
940,0 days 00:00:00.045369
941,0 days 00:00:00.045142
942,0 days 00:00:00.045190
943,0 days 00:00:00.045237
944,0 days 00:00:00.045296
945,0 days 00:00:00.045170
946,0 days 00:00:00.056330
947,0 days 00:00:00.045252
948,0 days 00:00:00.046707
949,0 days 00:00:00.045234
950,0 days 00:00:00.045118
951,0 days 00:00:00.045295
952,0 days 00:00:00.045206
953,0 days 00:00:00.045135
954,0 days 00:00:00.045286
955,0 days 00:00:00.045246
956,0 days 00:00:00.056349
957,0 days 00:00:00.045158
958,0 days 00:00:00.134128
959,0 days 00:00:00.045116
960,0 days 00:00:00.045251
961,0 days 00:00:00.045256
962,0 days 00:00:00.045236
963,0 days 00:00:00.057859
964,0 days 00:00:00.056336
965,0 days 00:00:00.045236
966,0 days 00:00:00.045141
967,0 days 00:00:00.047998
968,0 days 00:00:00.067501
969,0 days 00:00:00.045221
970,0 days 00:00:00.045362
971,0 days 00:00:00.045162
972,0 days 00:00:00.045162
973,0 days 00:00:00.046770
974,0 days 00:00:00.045198
975,0 days 00:00:00.045339
976,0 days 00:00:00.045124
977,0 days 00:00:00.045160
978,0 days 00:00:00.045241
979,0 days 00:00:00.045305
980,0 days 00:00:00.056372
981,0 days 00:00:00.045065
982,0 days 00:00:00.045370
983,0 days 00:00:00.000525
984,0 days 00:00:00.055718
985,0 days 00:00:00.056241
986,0 days 00:00:00.056456
987,0 days 00:00:00.056188
988,0 days 00:00:00.045385
989,0 days 00:00:00.046864
990,0 days 00:00:00.045103
991,0 days 00:00:00.145039
992,0 days 00:00:00.045303
993,0 days 00:00:00.056285
994,0 days 00:00:00.045277
995,0 days 00:00:00.045336
996,0 days 00:00:00.056231
997,0 days 00:00:00.045247
998,0 days 00:00:00.045170
999,0 days 00:00:00.045264
